Matricula,Nome,Posto_Graduacao,Situacao,Dias_Afastado,Unidade,Mes_Referencia
158617,Fernanda Silva,1º Tenente,Apto ao serviço,0,1º BPM,2026-02
125665,Juliana Pereira,1º Sargento,Férias,13,1º BPM,2026-02
116110,Eduardo Santos,Capitão,Apto ao serviço,0,1º BPM,2026-02
175759,Gustavo Pereira,Cabo,Apto ao serviço,0,1º BPM,2026-02
195674,Eduardo Silva,1º Tenente,Apto ao serviço,0,1º BPM,2026-02
121708,Carla Gomes,Soldado,Apto ao serviço,0,1º BPM,2026-02
144581,Sabrina Costa,Major,Licença médica,9,1º BPM,2026-02
149663,Sabrina Santos,1º Sargento,Licença médica,11,1º BPM,2026-02
156468,Sabrina Oliveira,2º Tenente,Apto ao serviço,0,1º BPM,2026-02
144156,Patrícia Rodrigues,3º Sargento,Apto ao serviço,0,1º BPM,2026-02
106872,Fernanda Souza,2º Tenente,Férias,22,1º BPM,2026-02
199544,Bruno Costa,1º Tenente,Apto ao serviço,0,1º BPM,2026-02
144455,Ana Almeida,3º Sargento,Apto ao serviço,0,1º BPM,2026-02
111677,Patrícia Rodrigues,Soldado,Apto ao serviço,0,1º BPM,2026-02
185173,Marcos Costa,Major,Apto ao serviço,0,1º BPM,2026-02
185693,Gustavo Almeida,2º Sargento,Apto ao serviço,0,1º BPM,2026-02
140806,Igor Oliveira,2º Sargento,Apto ao serviço,0,1º BPM,2026-02
155623,Igor Almeida,Capitão,Férias,8,1º BPM,2026-02
137412,Sabrina Oliveira,1º Tenente,Apto ao serviço,0,1º BPM,2026-02
147566,Gustavo Silva,2º Sargento,Férias,10,1º BPM,2026-02
177026,Gustavo Silva,3º Sargento,Apto ao serviço,0,1º BPM,2026-02
119875,Patrícia Martins,2º Tenente,Licença médica,4,1º BPM,2026-02
130886,Bruno Rodrigues,Capitão,Apto ao serviço,0,1º BPM,2026-02
163684,Bruno Silva,1º Sargento,Apto ao serviço,0,1º BPM,2026-02
181636,Bruno Gomes,Capitão,Apto ao serviço,0,1º BPM,2026-02
169347,Fernanda Almeida,3º Sargento,Licença médica,27,1º BPM,2026-02
198242,Marcos Oliveira,Capitão,Apto ao serviço,0,1º BPM,2026-02
124630,Juliana Almeida,Major,Afastado,21,1º BPM,2026-02
125700,Patrícia Oliveira,3º Sargento,Licença médica,21,1º BPM,2026-02
198394,Diego Souza,Soldado,Apto ao serviço,0,1º BPM,2026-02
113176,Marcos Souza,1º Tenente,Apto ao serviço,0,1º BPM,2026-02
101484,Patrícia Oliveira,1º Tenente,Apto ao serviço,0,1º BPM,2026-02
145777,Sabrina Oliveira,Cabo,Curso,7,1º BPM,2026-02
111777,Eduardo Pereira,2º Tenente,Apto ao serviço,0,1º BPM,2026-02
136823,Sabrina Santos,Major,Férias,20,1º BPM,2026-02
188393,Sabrina Martins,Subtenente,Férias,14,1º BPM,2026-02
144415,Eduardo Costa,3º Sargento,Curso,3,1º BPM,2026-02
147176,Fernanda Pereira,Capitão,Apto ao serviço,0,1º BPM,2026-02
199229,Igor Costa,1º Sargento,Apto ao serviço,0,1º BPM,2026-02
117380,Diego Gomes,2º Tenente,Apto ao serviço,0,1º BPM,2026-02
188249,Rafael Oliveira,Subtenente,Apto ao serviço,0,1º BPM,2026-02
149804,Patrícia Costa,1º Sargento,Férias,24,1º BPM,2026-02
141271,Rafael Silva,1º Tenente,Curso,26,1º BPM,2026-02
110024,Diego Almeida,2º Sargento,Férias,11,1º BPM,2026-02
173736,Rafael Santos,2º Tenente,Férias,14,1º BPM,2026-02
130667,Gustavo Rodrigues,Capitão,Licença médica,3,1º BPM,2026-02
155650,Eduardo Souza,1º Tenente,Apto ao serviço,0,1º BPM,2026-02
146127,Juliana Costa,1º Sargento,Apto ao serviço,0,1º BPM,2026-02
119390,Gustavo Gomes,Cabo,Apto ao serviço,0,1º BPM,2026-02
172199,Patrícia Souza,3º Sargento,Apto ao serviço,0,1º BPM,2026-02
156126,Marcos Pereira,Cabo,Apto ao serviço,0,1º BPM,2026-02
111403,Rafael Souza,Soldado,Apto ao serviço,0,1º BPM,2026-02
190697,Carla Pereira,Major,Apto ao serviço,0,1º BPM,2026-02
161396,Fernanda Souza,1º Sargento,Férias,6,1º BPM,2026-02
178732,Diego Silva,Major,Apto ao serviço,0,1º BPM,2026-02
137355,Bruno Silva,Capitão,Apto ao serviço,0,1º BPM,2026-02
106398,Fernanda Rodrigues,1º Sargento,Apto ao serviço,0,1º BPM,2026-02
187608,Igor Costa,Soldado,Apto ao serviço,0,1º BPM,2026-02
110356,Juliana Costa,1º Sargento,Apto ao serviço,0,1º BPM,2026-02
