Matricula,Nome,Posto_Graduacao,Situacao,Dias_Afastado,Unidade,Mes_Referencia
135441,Fernanda Oliveira,Capitão,Curso,17,4º BPM Rondonópolis,2026-01
162743,Bruno Santos,3º Sargento,Férias,10,4º BPM Rondonópolis,2026-01
133008,Sabrina Silva,1º Sargento,Apto ao serviço,0,4º BPM Rondonópolis,2026-01
105187,Juliana Costa,1º Sargento,Apto ao serviço,0,4º BPM Rondonópolis,2026-01
120948,Eduardo Santos,Cabo,Afastado,28,4º BPM Rondonópolis,2026-01
127745,Diego Almeida,Major,Apto ao serviço,0,4º BPM Rondonópolis,2026-01
167085,Rafael Santos,Capitão,Apto ao serviço,0,4º BPM Rondonópolis,2026-01
138006,Patrícia Martins,Subtenente,Férias,11,4º BPM Rondonópolis,2026-01
198769,Eduardo Souza,Subtenente,Curso,14,4º BPM Rondonópolis,2026-01
151732,Carla Rodrigues,Cabo,Afastado,13,4º BPM Rondonópolis,2026-01
190839,Carla Silva,1º Sargento,Apto ao serviço,0,4º BPM Rondonópolis,2026-01
151831,Fernanda Souza,Cabo,Licença médica,23,4º BPM Rondonópolis,2026-01
193541,Gustavo Oliveira,2º Tenente,Curso,21,4º BPM Rondonópolis,2026-01
144479,Igor Santos,Subtenente,Curso,25,4º BPM Rondonópolis,2026-01
180237,Ana Oliveira,1º Tenente,Licença médica,3,4º BPM Rondonópolis,2026-01
193313,Fernanda Oliveira,Capitão,Licença médica,14,4º BPM Rondonópolis,2026-01
146392,Patrícia Martins,1º Sargento,Apto ao serviço,0,4º BPM Rondonópolis,2026-01
142399,Fernanda Souza,Capitão,Apto ao serviço,0,4º BPM Rondonópolis,2026-01
102312,Sabrina Silva,1º Tenente,Apto ao serviço,0,4º BPM Rondonópolis,2026-01
150452,Fernanda Almeida,Subtenente,Apto ao serviço,0,4º BPM Rondonópolis,2026-01
123407,Patrícia Oliveira,2º Sargento,Licença médica,18,4º BPM Rondonópolis,2026-01
170290,Igor Santos,Soldado,Curso,7,4º BPM Rondonópolis,2026-01
119558,Gustavo Almeida,1º Sargento,Apto ao serviço,0,4º BPM Rondonópolis,2026-01
104367,Igor Martins,Capitão,Apto ao serviço,0,4º BPM Rondonópolis,2026-01
130916,Igor Pereira,2º Sargento,Apto ao serviço,0,4º BPM Rondonópolis,2026-01
144628,Sabrina Martins,Soldado,Apto ao serviço,0,4º BPM Rondonópolis,2026-01
114988,Juliana Oliveira,3º Sargento,Licença médica,13,4º BPM Rondonópolis,2026-01
142604,Diego Almeida,1º Sargento,Apto ao serviço,0,4º BPM Rondonópolis,2026-01
131242,Rafael Pereira,1º Sargento,Apto ao serviço,0,4º BPM Rondonópolis,2026-01
140385,Marcos Almeida,Cabo,Apto ao serviço,0,4º BPM Rondonópolis,2026-01
174004,Fernanda Almeida,Major,Apto ao serviço,0,4º BPM Rondonópolis,2026-01
196444,Juliana Oliveira,Major,Curso,19,4º BPM Rondonópolis,2026-01
111370,Helena Silva,2º Sargento,Férias,4,4º BPM Rondonópolis,2026-01
