Matricula,Nome,Posto_Graduacao,Situacao,Dias_Afastado,Unidade,Mes_Referencia
160161,Eduardo Souza,Subtenente,Afastado,17,5º BPM Sinop,2026-01
162407,Marcos Santos,2º Sargento,Apto ao serviço,0,5º BPM Sinop,2026-01
160106,Eduardo Santos,2º Tenente,Afastado,14,5º BPM Sinop,2026-01
189896,Sabrina Santos,Soldado,Afastado,27,5º BPM Sinop,2026-01
140003,Eduardo Costa,Cabo,Apto ao serviço,0,5º BPM Sinop,2026-01
112065,Bruno Gomes,2º Sargento,Apto ao serviço,0,5º BPM Sinop,2026-01
162442,Igor Oliveira,Soldado,Apto ao serviço,0,5º BPM Sinop,2026-01
100989,Marcos Pereira,Major,Apto ao serviço,0,5º BPM Sinop,2026-01
128428,Carla Souza,2º Tenente,Apto ao serviço,0,5º BPM Sinop,2026-01
163081,Ana Rodrigues,Capitão,Férias,11,5º BPM Sinop,2026-01
134362,Patrícia Santos,Cabo,Apto ao serviço,0,5º BPM Sinop,2026-01
155023,Rafael Rodrigues,Subtenente,Apto ao serviço,0,5º BPM Sinop,2026-01
124524,Rafael Rodrigues,3º Sargento,Apto ao serviço,0,5º BPM Sinop,2026-01
182434,Fernanda Costa,Subtenente,Apto ao serviço,0,5º BPM Sinop,2026-01
140634,Rafael Rodrigues,3º Sargento,Férias,28,5º BPM Sinop,2026-01
105290,Ana Souza,3º Sargento,Apto ao serviço,0,5º BPM Sinop,2026-01
123024,Gustavo Costa,3º Sargento,Apto ao serviço,0,5º BPM Sinop,2026-01
160584,Diego Costa,1º Tenente,Apto ao serviço,0,5º BPM Sinop,2026-01
151398,Gustavo Martins,1º Tenente,Apto ao serviço,0,5º BPM Sinop,2026-01
149512,Juliana Rodrigues,2º Sargento,Apto ao serviço,0,5º BPM Sinop,2026-01
135689,Igor Martins,Cabo,Apto ao serviço,0,5º BPM Sinop,2026-01
188272,Eduardo Silva,Major,Licença médica,8,5º BPM Sinop,2026-01
197700,Rafael Rodrigues,Major,Apto ao serviço,0,5º BPM Sinop,2026-01
161358,Eduardo Martins,2º Tenente,Curso,6,5º BPM Sinop,2026-01
139834,Fernanda Martins,Soldado,Apto ao serviço,0,5º BPM Sinop,2026-01
158491,Bruno Gomes,1º Sargento,Apto ao serviço,0,5º BPM Sinop,2026-01
197262,Igor Silva,1º Tenente,Licença médica,7,5º BPM Sinop,2026-01
153911,Rafael Martins,Subtenente,Curso,3,5º BPM Sinop,2026-01
139802,Diego Martins,1º Tenente,Afastado,29,5º BPM Sinop,2026-01
133036,Eduardo Silva,3º Sargento,Apto ao serviço,0,5º BPM Sinop,2026-01
113059,Juliana Costa,Soldado,Apto ao serviço,0,5º BPM Sinop,2026-01
132090,Igor Costa,Subtenente,Apto ao serviço,0,5º BPM Sinop,2026-01
114523,Patrícia Martins,Soldado,Apto ao serviço,0,5º BPM Sinop,2026-01
106226,Igor Rodrigues,2º Tenente,Licença médica,25,5º BPM Sinop,2026-01
130797,Helena Almeida,Soldado,Apto ao serviço,0,5º BPM Sinop,2026-01
178358,Marcos Martins,1º Tenente,Apto ao serviço,0,5º BPM Sinop,2026-01
177456,Bruno Costa,3º Sargento,Afastado,6,5º BPM Sinop,2026-01
151044,Patrícia Oliveira,1º Sargento,Apto ao serviço,0,5º BPM Sinop,2026-01
115047,Marcos Rodrigues,Soldado,Apto ao serviço,0,5º BPM Sinop,2026-01
166224,Patrícia Rodrigues,1º Sargento,Apto ao serviço,0,5º BPM Sinop,2026-01
134551,Juliana Oliveira,Capitão,Apto ao serviço,0,5º BPM Sinop,2026-01
182261,Rafael Pereira,Subtenente,Apto ao serviço,0,5º BPM Sinop,2026-01
121571,Marcos Almeida,Soldado,Apto ao serviço,0,5º BPM Sinop,2026-01
130415,Rafael Almeida,Cabo,Curso,20,5º BPM Sinop,2026-01
157461,Gustavo Silva,1º Sargento,Apto ao serviço,0,5º BPM Sinop,2026-01
127221,Igor Souza,1º Tenente,Apto ao serviço,0,5º BPM Sinop,2026-01
110984,Gustavo Gomes,2º Sargento,Apto ao serviço,0,5º BPM Sinop,2026-01
144409,Gustavo Gomes,Cabo,Férias,15,5º BPM Sinop,2026-01
123236,Bruno Silva,1º Sargento,Apto ao serviço,0,5º BPM Sinop,2026-01
107334,Diego Almeida,3º Sargento,Apto ao serviço,0,5º BPM Sinop,2026-01
167266,Helena Almeida,2º Sargento,Apto ao serviço,0,5º BPM Sinop,2026-01
146140,Ana Oliveira,Major,Apto ao serviço,0,5º BPM Sinop,2026-01
182259,Sabrina Rodrigues,Subtenente,Apto ao serviço,0,5º BPM Sinop,2026-01
166408,Igor Rodrigues,Capitão,Apto ao serviço,0,5º BPM Sinop,2026-01
190730,Bruno Silva,Capitão,Apto ao serviço,0,5º BPM Sinop,2026-01
117626,Diego Oliveira,Soldado,Apto ao serviço,0,5º BPM Sinop,2026-01
194890,Diego Silva,2º Tenente,Apto ao serviço,0,5º BPM Sinop,2026-01
135090,Helena Rodrigues,Cabo,Apto ao serviço,0,5º BPM Sinop,2026-01
130948,Helena Costa,3º Sargento,Curso,19,5º BPM Sinop,2026-01
193023,Helena Oliveira,Soldado,Apto ao serviço,0,5º BPM Sinop,2026-01
146066,Sabrina Santos,2º Sargento,Curso,4,5º BPM Sinop,2026-01
152569,Bruno Gomes,Capitão,Apto ao serviço,0,5º BPM Sinop,2026-01
140921,Sabrina Santos,2º Sargento,Apto ao serviço,0,5º BPM Sinop,2026-01
