Matricula,Nome,Posto_Graduacao,Situacao,Dias_Afastado,Unidade,Mes_Referencia
102082,Ana Souza,3º Sargento,Apto ao serviço,0,Rotam,2026-01
182133,Ana Costa,2º Tenente,Curso,5,Rotam,2026-01
119321,Sabrina Silva,Subtenente,Afastado,20,Rotam,2026-01
182954,Rafael Santos,3º Sargento,Apto ao serviço,0,Rotam,2026-01
143351,Sabrina Silva,1º Tenente,Apto ao serviço,0,Rotam,2026-01
106270,Bruno Pereira,2º Tenente,Apto ao serviço,0,Rotam,2026-01
154657,Bruno Oliveira,2º Tenente,Apto ao serviço,0,Rotam,2026-01
117617,Eduardo Martins,Cabo,Apto ao serviço,0,Rotam,2026-01
185415,Igor Souza,Cabo,Apto ao serviço,0,Rotam,2026-01
192301,Gustavo Oliveira,Soldado,Apto ao serviço,0,Rotam,2026-01
144238,Rafael Gomes,Capitão,Apto ao serviço,0,Rotam,2026-01
117901,Helena Souza,2º Tenente,Afastado,25,Rotam,2026-01
124658,Diego Martins,3º Sargento,Apto ao serviço,0,Rotam,2026-01
114259,Ana Silva,3º Sargento,Apto ao serviço,0,Rotam,2026-01
197907,Juliana Oliveira,1º Sargento,Apto ao serviço,0,Rotam,2026-01
116041,Eduardo Santos,Cabo,Férias,12,Rotam,2026-01
161936,Patrícia Rodrigues,3º Sargento,Apto ao serviço,0,Rotam,2026-01
172010,Sabrina Santos,Subtenente,Apto ao serviço,0,Rotam,2026-01
198804,Juliana Martins,Major,Curso,14,Rotam,2026-01
115941,Juliana Almeida,2º Sargento,Apto ao serviço,0,Rotam,2026-01
144538,Fernanda Oliveira,Cabo,Licença médica,5,Rotam,2026-01
110794,Rafael Souza,2º Tenente,Apto ao serviço,0,Rotam,2026-01
190835,Carla Gomes,Subtenente,Apto ao serviço,0,Rotam,2026-01
114015,Patrícia Almeida,2º Tenente,Apto ao serviço,0,Rotam,2026-01
113869,Sabrina Costa,Cabo,Apto ao serviço,0,Rotam,2026-01
124225,Marcos Souza,Cabo,Curso,30,Rotam,2026-01
151650,Igor Pereira,1º Sargento,Apto ao serviço,0,Rotam,2026-01
172422,Marcos Pereira,Cabo,Apto ao serviço,0,Rotam,2026-01
164027,Ana Gomes,2º Sargento,Apto ao serviço,0,Rotam,2026-01
103799,Juliana Gomes,2º Sargento,Férias,20,Rotam,2026-01
139567,Diego Martins,1º Sargento,Curso,4,Rotam,2026-01
182886,Bruno Martins,Soldado,Apto ao serviço,0,Rotam,2026-01
108833,Sabrina Pereira,1º Tenente,Apto ao serviço,0,Rotam,2026-01
177062,Rafael Martins,3º Sargento,Apto ao serviço,0,Rotam,2026-01
138345,Sabrina Silva,1º Sargento,Férias,20,Rotam,2026-01
108222,Igor Silva,Subtenente,Apto ao serviço,0,Rotam,2026-01
130508,Fernanda Silva,Cabo,Apto ao serviço,0,Rotam,2026-01
176700,Rafael Costa,Subtenente,Apto ao serviço,0,Rotam,2026-01
105497,Diego Pereira,2º Tenente,Apto ao serviço,0,Rotam,2026-01
120289,Ana Santos,1º Sargento,Apto ao serviço,0,Rotam,2026-01
160313,Gustavo Pereira,Cabo,Apto ao serviço,0,Rotam,2026-01
139211,Juliana Rodrigues,1º Tenente,Apto ao serviço,0,Rotam,2026-01
130229,Diego Costa,Subtenente,Apto ao serviço,0,Rotam,2026-01
189123,Rafael Silva,Soldado,Apto ao serviço,0,Rotam,2026-01
112574,Ana Gomes,1º Tenente,Apto ao serviço,0,Rotam,2026-01
129561,Ana Rodrigues,Soldado,Férias,27,Rotam,2026-01
101584,Patrícia Souza,Subtenente,Apto ao serviço,0,Rotam,2026-01
165159,Juliana Souza,Soldado,Apto ao serviço,0,Rotam,2026-01
117421,Helena Souza,1º Tenente,Apto ao serviço,0,Rotam,2026-01
139660,Patrícia Almeida,Major,Licença médica,11,Rotam,2026-01
173902,Sabrina Silva,1º Sargento,Apto ao serviço,0,Rotam,2026-01
174504,Patrícia Santos,Cabo,Férias,4,Rotam,2026-01
125691,Juliana Silva,Soldado,Apto ao serviço,0,Rotam,2026-01
194375,Carla Costa,1º Sargento,Férias,3,Rotam,2026-01
182730,Igor Souza,Capitão,Apto ao serviço,0,Rotam,2026-01
143245,Marcos Santos,2º Tenente,Apto ao serviço,0,Rotam,2026-01
149865,Sabrina Costa,Cabo,Apto ao serviço,0,Rotam,2026-01
134861,Juliana Costa,Subtenente,Curso,28,Rotam,2026-01
154593,Marcos Rodrigues,Major,Apto ao serviço,0,Rotam,2026-01
182002,Bruno Rodrigues,Major,Apto ao serviço,0,Rotam,2026-01
138632,Diego Oliveira,Cabo,Férias,17,Rotam,2026-01
161338,Carla Almeida,1º Tenente,Apto ao serviço,0,Rotam,2026-01
147890,Marcos Silva,Major,Apto ao serviço,0,Rotam,2026-01
199278,Igor Santos,Soldado,Curso,11,Rotam,2026-01
148352,Eduardo Martins,2º Sargento,Apto ao serviço,0,Rotam,2026-01
