Matricula,Nome,Posto_Graduacao,Situacao,Dias_Afastado,Unidade,Mes_Referencia,Obs
101621,Diego Martins,Major,Apto ao serviço,0,Rotam,2026-02,
164465,Carla Pereira,2º Tenente,Apto ao serviço,0,Rotam,2026-02,
156855,Helena Santos,1º Tenente,Férias,18,Rotam,2026-02,
183958,Rafael Almeida,2º Sargento,Apto ao serviço,0,Rotam,2026-02,
122149,Helena Rodrigues,3º Sargento,Apto ao serviço,0,Rotam,2026-02,
183271,Carla Oliveira,2º Tenente,Férias,5,Rotam,2026-02,
101136,Diego Almeida,Cabo,Apto ao serviço,0,Rotam,2026-02,
106796,Eduardo Santos,Subtenente,Apto ao serviço,0,Rotam,2026-02,
165766,Diego Gomes,3º Sargento,Apto ao serviço,0,Rotam,2026-02,
101727,Bruno Souza,3º Sargento,Apto ao serviço,0,Rotam,2026-02,
105474,Sabrina Silva,2º Tenente,Férias,9,Rotam,2026-02,
189118,Ana Gomes,3º Sargento,Apto ao serviço,0,Rotam,2026-02,
167312,Igor Costa,1º Sargento,Apto ao serviço,0,Rotam,2026-02,
112791,Fernanda Oliveira,2º Tenente,Curso,27,Rotam,2026-02,
191552,Patrícia Almeida,3º Sargento,Férias,9,Rotam,2026-02,
114001,Rafael Gomes,Soldado,Apto ao serviço,0,Rotam,2026-02,
171268,Eduardo Silva,1º Tenente,Apto ao serviço,0,Rotam,2026-02,
135939,Carla Silva,2º Tenente,Apto ao serviço,0,Rotam,2026-02,
155109,Gustavo Rodrigues,Subtenente,Apto ao serviço,0,Rotam,2026-02,
199451,Patrícia Almeida,Major,Apto ao serviço,0,Rotam,2026-02,
112544,Helena Costa,1º Sargento,Férias,4,Rotam,2026-02,
142756,Helena Rodrigues,2º Tenente,Licença médica,24,Rotam,2026-02,
194911,Bruno Souza,Subtenente,Apto ao serviço,0,Rotam,2026-02,
112889,Carla Costa,3º Sargento,Curso,21,Rotam,2026-02,
134266,Gustavo Almeida,2º Sargento,Apto ao serviço,0,Rotam,2026-02,
183926,Helena Martins,Subtenente,Apto ao serviço,0,Rotam,2026-02,
175018,Sabrina Silva,1º Tenente,Apto ao serviço,0,Rotam,2026-02,
196410,Helena Oliveira,Capitão,Apto ao serviço,0,Rotam,2026-02,
119996,Ana Costa,3º Sargento,Apto ao serviço,0,Rotam,2026-02,
132383,Eduardo Almeida,1º Sargento,Apto ao serviço,0,Rotam,2026-02,
189440,Bruno Souza,Cabo,Apto ao serviço,0,Rotam,2026-02,
196141,Helena Santos,2º Tenente,Apto ao serviço,0,Rotam,2026-02,
190556,Diego Almeida,1º Sargento,Licença médica,4,Rotam,2026-02,
119194,Ana Gomes,Soldado,Férias,19,Rotam,2026-02,
126705,Diego Santos,3º Sargento,Apto ao serviço,0,Rotam,2026-02,
181851,Rafael Costa,1º Tenente,Apto ao serviço,0,Rotam,2026-02,
184921,Eduardo Pereira,Soldado,Afastado,19,Rotam,2026-02,
162471,Igor Almeida,Major,Apto ao serviço,0,Rotam,2026-02,
121757,Sabrina Martins,1º Sargento,Apto ao serviço,0,Rotam,2026-02,
185196,Juliana Pereira,Major,Apto ao serviço,0,Rotam,2026-02,
129697,Patrícia Gomes,Major,Apto ao serviço,0,Rotam,2026-02,
196813,Helena Costa,1º Tenente,Apto ao serviço,0,Rotam,2026-02,
137836,Ana Costa,Soldado,Afastado,4,Rotam,2026-02,
151323,Eduardo Gomes,1º Tenente,Apto ao serviço,0,Rotam,2026-02,
191111,Carla Gomes,1º Tenente,Apto ao serviço,0,Rotam,2026-02,
106512,Fernanda Martins,3º Sargento,Afastado,15,Rotam,2026-02,
144508,Helena Silva,Capitão,Apto ao serviço,0,Rotam,2026-02,
177230,Fernanda Pereira,Cabo,Férias,24,Rotam,2026-02,
143603,Diego Rodrigues,1º Sargento,Apto ao serviço,0,Rotam,2026-02,
171880,Marcos Santos,1º Tenente,Apto ao serviço,0,Rotam,2026-02,
104592,Carla Santos,Major,Apto ao serviço,0,Rotam,2026-02,
103237,Helena Souza,Cabo,Afastado,15,Rotam,2026-02,
151372,Eduardo Pereira,1º Tenente,Apto ao serviço,0,Rotam,2026-02,
156768,Ana Santos,Major,Apto ao serviço,0,Rotam,2026-02,
103666,Gustavo Silva,Capitão,Curso,10,Rotam,2026-02,
183855,Marcos Souza,Major,Afastado,6,Rotam,2026-02,
141550,Patrícia Gomes,3º Sargento,Apto ao serviço,0,Rotam,2026-02,
142286,Rafael Gomes,Cabo,Férias,10,Rotam,2026-02,
161865,Patrícia Gomes,2º Sargento,Afastado,25,Rotam,2026-02,
181410,Eduardo Oliveira,Subtenente,Licença médica,14,Rotam,2026-02,
159455,Sabrina Rodrigues,2º Tenente,Apto ao serviço,0,Rotam,2026-02,
180616,Diego Almeida,Soldado,Férias,8,Rotam,2026-02,
